,position,title,link,thumbnail,channel,duration,platform,date,query,lang,country,termid
0,1,Renewable Energy 101 | National Geographic,https://www.youtube.com/watch?v=1kUE0BZtTRc,https://serpapi.com/searches/627cfec8a4be10eb3ec51af0/images/2f89ca4a01a79566a110cc24b44a4988fea67c6e3997efcd6893bfbb6d0bcdc7.jpeg,National Geographic,3:17,YouTube,"Sep 21, 2017",Renewable Energy,en,US,58
1,2,Climate 101: Renewable Energy,https://www.nationalgeographic.org/video/climate-101-renewable-energy/,https://serpapi.com/searches/627cfec8a4be10eb3ec51af0/images/2f89ca4a01a79566548e195284948b424ac6fa4983b7fa387088a08d5e2dc616.jpeg,,2:07,National Geographic Society,"Sep 9, 2019",Renewable Energy,en,US,58
2,3,The renewable energies of the future | ACCIONA,https://www.youtube.com/watch?v=FkA4Mhhjz40,https://serpapi.com/searches/627cfec8a4be10eb3ec51af0/images/2f89ca4a01a795662d415e4fe73d6be31415cfa86e1a6eb5830f76a8c7d912fe.jpeg,ACCIONA,2:35,YouTube,"Jul 12, 2019",Renewable Energy,en,US,58
0,1,We WILL Fix Climate Change!,https://www.youtube.com/watch?v=LxgMdjyw8uw,https://i.ytimg.com/vi/LxgMdjyw8uw/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kfYMYU7yXnC9S7ZCGjEiiSKdxXlw,Kurzgesagt – In a Nutshell,16:11,YouTube,1 month ago,Climate change,en,US,59
1,2,Climate Change And Drought Forcing Hard Choices Across ...,https://www.youtube.com/watch?v=vEAFzgsRQs8,https://i.ytimg.com/vi/vEAFzgsRQs8/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kShm0LwtY_uAXScPjRINJYeeWfuw,NBC News,5:07,YouTube,2 days ago,Climate change,en,US,59
2,3,Can YOU Fix Climate Change?,https://www.youtube.com/watch?v=yiw6_JakZFc,https://i.ytimg.com/vi/yiw6_JakZFc/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3k80JBVOxRWos9IMQCJoUdN6Y5bbQ,Kurzgesagt – In a Nutshell,15:50,YouTube,"Sep 22, 2021",Climate change,en,US,59
0,1,Soil Contamination: Does it Exist Near You?,https://www.youtube.com/watch?v=iAmHToVhm2A,https://serpapi.com/searches/627cfed40574f58582f97c43/images/4f3c71b59f0f400f308d399d93094f726b862a6bab1176d793e64371d9ba1820.jpeg,Paul Cochrane,3:30,YouTube,"Nov 8, 2013",Soil contamination,en,US,65
1,2,"Soil Pollution, a hidden reality",https://www.youtube.com/watch?v=wHcY-iFSYZM,https://serpapi.com/searches/627cfed40574f58582f97c43/images/4f3c71b59f0f400f09317f303fe956f46307227ee00a2f4b0a20074576abedd9.jpeg,Food and Agriculture Organization of the United Nations,2:20,YouTube,"May 2, 2018",Soil contamination,en,US,65
2,3,What Is SOIL POLLUTION | LAND POLLUTION | What Causes ...,https://www.youtube.com/watch?v=Hnfdq2htoKU,https://serpapi.com/searches/627cfed40574f58582f97c43/images/4f3c71b59f0f400f2255b8beda5bb8ba8330aea3c6227ac7be078fb691be7afd.jpeg,Peekaboo Kidz,5:45,YouTube,"Mar 10, 2020",Soil contamination,en,US,65
0,1,Greenhouse Effect and Greenhouse Gases,https://www.youtube.com/watch?v=XFCdxppTsu0,https://i.ytimg.com/vi/XFCdxppTsu0/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kXdiH2BD1P6cictRQWBT5yktQROg,Umweltbundesamt,4:19,YouTube,"Jun 15, 2020",Greenhouse gas,en,US,66
1,2,What Is the Greenhouse Effect?,https://www.youtube.com/watch?v=SN5-DnOHQmE,https://i.ytimg.com/vi/SN5-DnOHQmE/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3nyZa6qgfV722Cv1YFmYZnZ-InHSw,NASA Space Place,2:30,YouTube,"Jun 11, 2020",Greenhouse gas,en,US,66
2,3,How Do Greenhouse Gases Actually Work?,https://www.youtube.com/watch?v=sTvqIijqvTg,https://i.ytimg.com/vi/sTvqIijqvTg/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kcM24TaeP6Do0IfeBiyxOv9fEVRA,MinuteEarth,3:09,YouTube,"May 26, 2015",Greenhouse gas,en,US,66
0,1,Queensland battling second flood emergency in three months ...,https://www.youtube.com/watch?v=CvnpPT80E1g,https://serpapi.com/searches/627cfedfce87f8ea4a81c838/images/0a2e595bd1790a722accfddcf11d1c4bd48a3fc06ff49b613cd0691282689ba2.jpeg,7NEWS Australia,11:02,YouTube,3 hours ago,Flood,en,US,70
1,2,Watch as Bridge Disintegrates in Flood - Videos from The ...,https://weather.com/news/weather/video/pakistan-bridge-collapses-from-glacial-lake-outburst-during-heat-wave,https://serpapi.com/searches/627cfedfce87f8ea4a81c838/images/0a2e595bd1790a72274546ccb5d6d80cf80dfe5a68124a0d7d46d9c64da13265.jpeg,,,The Weather Channel,2 days ago,Flood,en,US,70
2,3,Flood warning continues in Big Rapids | wzzm13.com,https://www.wzzm13.com/video/weather/severe-weather/flood-warning-continues-in-big-rapids/69-4925c996-8137-460a-afc1-829e78dd6100,https://serpapi.com/searches/627cfedfce87f8ea4a81c838/images/0a2e595bd1790a72ac9e4fa280df2b2dc462ee07609957fb2dee5094e584f01c.jpeg,,,WZZM 13,2 hours ago,Flood,en,US,70
0,1,The State of Food Security and Nutrition in the World 2020,https://www.youtube.com/watch?v=64KLuGzGxEQ,https://i.ytimg.com/vi/64KLuGzGxEQ/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3nIF2GaUUOWUK-D6HMpE_6rHTb_IA,Food and Agriculture Organization of the United Nations,3:19,YouTube,13 Jul 2020,Food Security,en,NG,54
1,2,The State of Food Security and Nutrition in the World 2021,https://www.youtube.com/watch?v=bjN4t9fWza0,https://i.ytimg.com/vi/bjN4t9fWza0/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3nFDJL2eUYPFqTnWaaqgg0djahrKw,Food and Agriculture Organization of the United Nations,3:05,YouTube,12 Jul 2021,Food Security,en,NG,54
2,3,The State of Food Security and Nutrition in the World (SOFI ...,https://www.youtube.com/watch?v=zkyIDfglf2Y,https://i.ytimg.com/vi/zkyIDfglf2Y/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3lKc8SRWdmvVIyE1nzOeT2svicVtA,Food and Agriculture Organization of the United Nations,3:47,YouTube,15 Jul 2019,Food Security,en,NG,54
0,1,Renewable Energy 101 | National Geographic,https://www.youtube.com/watch?v=1kUE0BZtTRc,https://i.ytimg.com/vi/1kUE0BZtTRc/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3ldBN8BWDElxh8OeXr3NCYsgUYcow,National Geographic,3:17,YouTube,21 Sept 2017,Renewable Energy,en,NG,58
1,2,Renewable Energy Sources - Types of Energy for Kids,https://www.youtube.com/watch?v=Giek094C_l4,https://i.ytimg.com/vi/Giek094C_l4/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kEH7UwCuGLKcJcmCX48x3cg52lRg,Smile and Learn - English,3:22,YouTube,26 May 2020,Renewable Energy,en,NG,58
2,3,Climate 101: Renewable Energy,https://www.nationalgeographic.org/video/climate-101-renewable-energy/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLPVyfuZwKtVnkehMLhIQILWISdq7ET5_fyo1JkURod-0&s,,2:07,National Geographic Society,9 Sept 2019,Renewable Energy,en,NG,58
0,1,We WILL Fix Climate Change!,https://www.youtube.com/watch?v=LxgMdjyw8uw,https://i.ytimg.com/vi/LxgMdjyw8uw/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kfYMYU7yXnC9S7ZCGjEiiSKdxXlw,Kurzgesagt – In a Nutshell,16:11,YouTube,1 month ago,Climate change,en,NG,59
1,2,Can YOU Fix Climate Change?,https://www.youtube.com/watch?v=yiw6_JakZFc,https://i.ytimg.com/vi/yiw6_JakZFc/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3k80JBVOxRWos9IMQCJoUdN6Y5bbQ,Kurzgesagt – In a Nutshell,15:50,YouTube,22 Sept 2021,Climate change,en,NG,59
2,3,IPCC Press Conference for CLIMATE CHANGE 2022 ...,https://www.youtube.com/watch?v=STFoSxqFQXU,https://i.ytimg.com/vi/STFoSxqFQXU/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3lzNHMWcxPTGiF4ER_8TaMxD2I6mw,Intergovernmental Panel on Climate Change (IPCC),1:43:52,YouTube,1 month ago,Climate change,en,NG,59
0,1,Soil Contamination: Does it Exist Near You?,https://www.youtube.com/watch?v=iAmHToVhm2A,https://i.ytimg.com/vi/iAmHToVhm2A/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kSsIyfXaS24Tsu58LD1rMaORP_Sw,Paul Cochrane,3:30,YouTube,9 Nov 2013,Soil contamination,en,NG,65
1,2,"Soil Pollution, a hidden reality",https://www.youtube.com/watch?v=wHcY-iFSYZM,https://i.ytimg.com/vi/wHcY-iFSYZM/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3n5rShzDT8ZzbBOWWJU1o-7jXC5xw,Food and Agriculture Organization of the United Nations,2:20,YouTube,2 May 2018,Soil contamination,en,NG,65
2,3,Soil Pollution,https://www.youtube.com/watch?v=Ikrgh7vBzfA,https://i.ytimg.com/vi/Ikrgh7vBzfA/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kPzHBV8_Ow5voNgcWF3JSYjCp9SQ,Macmillan Education India,3:58,YouTube,3 Apr 2020,Soil contamination,en,NG,65
0,1,Greenhouse Effect and Greenhouse Gases,https://www.youtube.com/watch?v=XFCdxppTsu0,https://serpapi.com/searches/627cff042ff421d0fb7668bd/images/9050553d8b56400a9adaf9ab2db8a6807803ff9af8949464e139f754f1b234ae.jpeg,Umweltbundesamt,4:19,YouTube,15 Jun 2020,Greenhouse gas,en,NG,66
1,2,Greenhouse effect and greenhouse gases (video),https://www.khanacademy.org/science/ap-college-environmental-science/x0b0e430a38ebd23f:global-change/x0b0e430a38ebd23f:greenhouse-effect/v/greenhouse-effect-and-greenhouse-gases,https://serpapi.com/searches/627cff042ff421d0fb7668bd/images/9050553d8b56400af92b581309da75e5384fb6966f4ee235efee8c2e56966322.jpeg,,,Khan Academy,30 Jul 2021,Greenhouse gas,en,NG,66
2,3,What Is the Greenhouse Effect?,https://www.youtube.com/watch?v=SN5-DnOHQmE,https://serpapi.com/searches/627cff042ff421d0fb7668bd/images/9050553d8b56400a90be46923f991875652c3a20e2520444770fbee20700c48d.jpeg,NASA Space Place,2:30,YouTube,11 Jun 2020,Greenhouse gas,en,NG,66
0,1,Queensland battling second flood emergency in three months ...,https://www.youtube.com/watch?v=CvnpPT80E1g,https://i.ytimg.com/vi/CvnpPT80E1g/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3mHAXTYH1TR7uL3amV6A7Q3NZLnhQ,7NEWS Australia,11:02,YouTube,3 hours ago,Flood,en,NG,70
1,2,Watch as Bridge Disintegrates in Flood - Videos from The ...,https://weather.com/news/weather/video/pakistan-bridge-collapses-from-glacial-lake-outburst-during-heat-wave,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpm_asXSvbXEJ9no1bR55qXnCBri-kU8WicBvC2CYgFYw&s,,,The Weather Channel,2 days ago,Flood,en,NG,70
2,3,Severe Weather Update: Intense rainfall has cleared Qld coast ...,https://www.youtube.com/watch?v=qjmZ981iHY8,https://i.ytimg.com/vi/qjmZ981iHY8/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kqu-LnHgJuBo28jLTUv1Tnda4Exw,Bureau of Meteorology,2:49,YouTube,1 day ago,Flood,en,NG,70
0,1,Climate Change And Drought Forcing Hard Choices Across ...,https://www.youtube.com/watch?v=vEAFzgsRQs8,https://i.ytimg.com/vi/vEAFzgsRQs8/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kShm0LwtY_uAXScPjRINJYeeWfuw,NBC News,5:07,YouTube,2 days ago,Drought,en,NG,71
1,2,Droughts 101,https://www.nationalgeographic.org/video/droughts/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPg7xniHWh6_ir7wqc_e2wUCS7IPNNpyLKj8xlDnM29_Y&s,,2:58,National Geographic Society,23 Jan 2017,Drought,en,NG,71
