,query,link,lang,country,termid
0,Malnutrition,https://www.google.com/search?gl=US&hl=en&q=Types+of+malnutrition&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ1QJ6BAgmEAE,en,US,53
1,Malnutrition,https://www.google.com/search?gl=US&hl=en&q=Malnutrition+in+adults&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ1QJ6BAglEAE,en,US,53
2,Malnutrition,https://www.google.com/search?gl=US&hl=en&q=Malnutrition+ppt&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ1QJ6BAgkEAE,en,US,53
3,Malnutrition,https://www.google.com/search?gl=US&hl=en&q=Malnutrition+diseases&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ1QJ6BAgjEAE,en,US,53
4,Malnutrition,https://www.google.com/search?gl=US&hl=en&q=Malnutrition+in+children&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ1QJ6BAghEAE,en,US,53
5,Malnutrition,https://www.google.com/search?gl=US&hl=en&q=5+effects+of+malnutrition&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ1QJ6BAggEAE,en,US,53
6,Malnutrition,https://www.google.com/search?gl=US&hl=en&q=Malnutrition+causes&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ1QJ6BAgfEAE,en,US,53
7,Malnutrition,https://www.google.com/search?gl=US&hl=en&q=Malnutrition+examples&sa=X&ved=2ahUKEwjwrcWt_Nn3AhXnmOAKHd_xCuoQ1QJ6BAgaEAE,en,US,53
0,Food Security,https://www.google.com/search?hl=en&gl=US&q=Agriculture+and+food+security&sa=X&ved=2ahUKEwiS4YCv_Nn3AhWDTN8KHe1eDdIQ1QJ6BAhAEAE,en,US,54
1,Food Security,https://www.google.com/search?hl=en&gl=US&q=Global+food+security&sa=X&ved=2ahUKEwiS4YCv_Nn3AhWDTN8KHe1eDdIQ1QJ6BAg-EAE,en,US,54
2,Food Security,https://www.google.com/search?hl=en&gl=US&q=Food+security+PDF&sa=X&ved=2ahUKEwiS4YCv_Nn3AhWDTN8KHe1eDdIQ1QJ6BAg9EAE,en,US,54
3,Food Security,https://www.google.com/search?hl=en&gl=US&q=Examples+of+food+security&sa=X&ved=2ahUKEwiS4YCv_Nn3AhWDTN8KHe1eDdIQ1QJ6BAg8EAE,en,US,54
4,Food Security,https://www.google.com/search?hl=en&gl=US&q=Levels+of+food+security&sa=X&ved=2ahUKEwiS4YCv_Nn3AhWDTN8KHe1eDdIQ1QJ6BAg6EAE,en,US,54
5,Food Security,https://www.google.com/search?hl=en&gl=US&q=Pillars+of+food+security&sa=X&ved=2ahUKEwiS4YCv_Nn3AhWDTN8KHe1eDdIQ1QJ6BAg5EAE,en,US,54
6,Food Security,https://www.google.com/search?hl=en&gl=US&q=what+is+the+correlation+between+covid-19+and+food+security&sa=X&ved=2ahUKEwiS4YCv_Nn3AhWDTN8KHe1eDdIQ1QJ6BAg4EAE,en,US,54
7,Food Security,https://www.google.com/search?hl=en&gl=US&q=Food+security+introduction&sa=X&ved=2ahUKEwiS4YCv_Nn3AhWDTN8KHe1eDdIQ1QJ6BAg1EAE,en,US,54
0,Calorie,https://www.google.com/search?gl=US&hl=en&q=Calorie+calculator&sa=X&ved=2ahUKEwjq3tC0_Nn3AhULZN8KHYifD4QQ1QJ6BAg7EAE,en,US,56
1,Calorie,https://www.google.com/search?gl=US&hl=en&q=What+is+calories+in+food&sa=X&ved=2ahUKEwjq3tC0_Nn3AhULZN8KHYifD4QQ1QJ6BAg5EAE,en,US,56
2,Calorie,https://www.google.com/search?gl=US&hl=en&q=How+many+calories+should+I+eat&sa=X&ved=2ahUKEwjq3tC0_Nn3AhULZN8KHYifD4QQ1QJ6BAg4EAE,en,US,56
3,Calorie,https://www.google.com/search?gl=US&hl=en&q=Food+calorie+calculator&sa=X&ved=2ahUKEwjq3tC0_Nn3AhULZN8KHYifD4QQ1QJ6BAg3EAE,en,US,56
4,Calorie,https://www.google.com/search?gl=US&hl=en&q=What+is+calories+in+body&sa=X&ved=2ahUKEwjq3tC0_Nn3AhULZN8KHYifD4QQ1QJ6BAg2EAE,en,US,56
5,Calorie,https://www.google.com/search?gl=US&hl=en&q=Calorie+intake+calculator&sa=X&ved=2ahUKEwjq3tC0_Nn3AhULZN8KHYifD4QQ1QJ6BAgzEAE,en,US,56
6,Calorie,https://www.google.com/search?gl=US&hl=en&q=Calorie+deficit+calculator&sa=X&ved=2ahUKEwjq3tC0_Nn3AhULZN8KHYifD4QQ1QJ6BAg8EAE,en,US,56
0,Renewable Energy,https://www.google.com/search?gl=US&hl=en&q=Renewable+Energy+journal&sa=X&ved=2ahUKEwiO_921_Nn3AhUJZd8KHeEfAf0Q1QJ6BAhXEAE,en,US,58
1,Renewable Energy,https://www.google.com/search?gl=US&hl=en&q=Renewable+energy+examples&sa=X&ved=2ahUKEwiO_921_Nn3AhUJZd8KHeEfAf0Q1QJ6BAhWEAE,en,US,58
2,Renewable Energy,https://www.google.com/search?gl=US&hl=en&q=Renewable+energy+sources&sa=X&ved=2ahUKEwiO_921_Nn3AhUJZd8KHeEfAf0Q1QJ6BAhVEAE,en,US,58
3,Renewable Energy,https://www.google.com/search?gl=US&hl=en&q=Renewable+energy+vs+fossil+fuels&sa=X&ved=2ahUKEwiO_921_Nn3AhUJZd8KHeEfAf0Q1QJ6BAhTEAE,en,US,58
4,Renewable Energy,https://www.google.com/search?gl=US&hl=en&q=Renewable+energy+articles&sa=X&ved=2ahUKEwiO_921_Nn3AhUJZd8KHeEfAf0Q1QJ6BAhQEAE,en,US,58
5,Renewable Energy,https://www.google.com/search?gl=US&hl=en&q=Non+renewable+energy&sa=X&ved=2ahUKEwiO_921_Nn3AhUJZd8KHeEfAf0Q1QJ6BAhNEAE,en,US,58
6,Renewable Energy,https://www.google.com/search?gl=US&hl=en&q=Importance+of+renewable+energy&sa=X&ved=2ahUKEwiO_921_Nn3AhUJZd8KHeEfAf0Q1QJ6BAhKEAE,en,US,58
7,Renewable Energy,https://www.google.com/search?gl=US&hl=en&q=Renewable+energy+facts&sa=X&ved=2ahUKEwiO_921_Nn3AhUJZd8KHeEfAf0Q1QJ6BAhIEAE,en,US,58
0,Climate change,https://www.google.com/search?hl=en&gl=US&q=Climate+change+news&sa=X&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0Q1QJ6BAhPEAE,en,US,59
1,Climate change,https://www.google.com/search?hl=en&gl=US&q=Climate+change+examples&sa=X&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0Q1QJ6BAhQEAE,en,US,59
2,Climate change,https://www.google.com/search?hl=en&gl=US&q=Climate+change+-+Wikipedia&sa=X&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0Q1QJ6BAhTEAE,en,US,59
3,Climate change,https://www.google.com/search?hl=en&gl=US&q=Climate+change+articles&sa=X&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0Q1QJ6BAhSEAE,en,US,59
4,Climate change,https://www.google.com/search?hl=en&gl=US&q=Why+is+climate+change+important&sa=X&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0Q1QJ6BAhOEAE,en,US,59
5,Climate change,https://www.google.com/search?hl=en&gl=US&q=Climate+change+articles+for+students&sa=X&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0Q1QJ6BAhUEAE,en,US,59
6,Climate change,https://www.google.com/search?hl=en&gl=US&q=Climate+change+definition+PDF&sa=X&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0Q1QJ6BAhVEAE,en,US,59
7,Climate change,https://www.google.com/search?hl=en&gl=US&q=Climate+change+statistics&sa=X&ved=2ahUKEwjgmrm5_Nn3AhXsVTABHSJcBG0Q1QJ6BAhREAE,en,US,59
0,Soil contamination,https://www.google.com/search?hl=en&gl=US&q=Soil+contamination+examples&sa=X&ved=2ahUKEwin7ZC7_Nn3AhUjnOAKHeQCB6UQ1QJ6BAhGEAE,en,US,65
1,Soil contamination,https://www.google.com/search?hl=en&gl=US&q=Soil+contamination+effects&sa=X&ved=2ahUKEwin7ZC7_Nn3AhUjnOAKHeQCB6UQ1QJ6BAhDEAE,en,US,65
2,Soil contamination,https://www.google.com/search?hl=en&gl=US&q=Soil+contamination+in+the+United+States&sa=X&ved=2ahUKEwin7ZC7_Nn3AhUjnOAKHeQCB6UQ1QJ6BAhAEAE,en,US,65
3,Soil contamination,https://www.google.com/search?hl=en&gl=US&q=EPA+soil+contamination+standards&sa=X&ved=2ahUKEwin7ZC7_Nn3AhUjnOAKHeQCB6UQ1QJ6BAg-EAE,en,US,65
4,Soil contamination,https://www.google.com/search?hl=en&gl=US&q=Oil+in+soil+contamination&sa=X&ved=2ahUKEwin7ZC7_Nn3AhUjnOAKHeQCB6UQ1QJ6BAg8EAE,en,US,65
5,Soil contamination,https://www.google.com/search?hl=en&gl=US&q=Soil+pollution+PDF&sa=X&ved=2ahUKEwin7ZC7_Nn3AhUjnOAKHeQCB6UQ1QJ6BAg7EAE,en,US,65
6,Soil contamination,https://www.google.com/search?hl=en&gl=US&q=Soil+pollution+-+Wikipedia&sa=X&ved=2ahUKEwin7ZC7_Nn3AhUjnOAKHeQCB6UQ1QJ6BAg6EAE,en,US,65
7,Soil contamination,https://www.google.com/search?hl=en&gl=US&q=Effects+of+soil+pollution+on+environment&sa=X&ved=2ahUKEwin7ZC7_Nn3AhUjnOAKHeQCB6UQ1QJ6BAg5EAE,en,US,65
0,Greenhouse gas,https://www.google.com/search?hl=en&gl=US&q=Sources+of+greenhouse+gases&sa=X&ved=2ahUKEwjUq8q8_Nn3AhXupXIEHR38A-UQ1QJ6BAhUEAE,en,US,66
