,organic_results_state,query_displayed,total_results,time_taken_displayed,query,lang,country,termid,spelling_fix,showing_results_for
0,Results for exact spelling,Malnutrition,227000000,0.49,Malnutrition,en,US,53,,
0,Results for exact spelling,Food Security,,,Food Security,en,US,54,,
0,Results for exact spelling,Calorie,3390000000,0.54,Calorie,en,US,56,,
0,Results for exact spelling,Renewable Energy,3360000000,0.63,Renewable Energy,en,US,58,,
0,Results for exact spelling,Climate change,2360000000,0.7,Climate change,en,US,59,,
0,Results for exact spelling,Soil contamination,2380000000,0.47,Soil contamination,en,US,65,,
0,Results for exact spelling,Greenhouse gas,,,Greenhouse gas,en,US,66,,
0,Results for exact spelling,Infection,4560000000,0.59,Infection,en,US,68,,
0,Results for exact spelling,Flood,6080000000,0.67,Flood,en,US,70,,
0,Results for exact spelling,Drought,2250000000,0.65,Drought,en,US,71,,
0,Results for exact spelling,Malnutrition,128000000,0.56,Malnutrition,en,NG,53,,
0,Results for exact spelling,Food Security,,,Food Security,en,NG,54,,
0,Results for exact spelling,Calorie,,,Calorie,en,NG,56,,
0,Results for exact spelling,Renewable Energy,308000000,0.67,Renewable Energy,en,NG,58,,
0,Results for exact spelling,Climate change,4230000000,0.68,Climate change,en,NG,59,,
0,Results for exact spelling,Soil contamination,2160000000,0.5,Soil contamination,en,NG,65,,
0,Results for exact spelling,Greenhouse gas,,,Greenhouse gas,en,NG,66,,
0,Results for exact spelling,Infection,4570000000,0.77,Infection,en,NG,68,,
0,Results for exact spelling,Flood,6070000000,0.54,Flood,en,NG,70,,
0,Results for exact spelling,Drought,2080000000,0.52,Drought,en,NG,71,,
0,Results for exact spelling,תת תזונה,345000,0.41,תת תזונה,iw,IL,53,,
0,Some results for exact spelling but showing fixed spelling,בטחון תזונתי,124000,0.41,בטחון תזונתי,iw,IL,54,ביטחון תזונתי,ביטחון תזונתי
0,Results for exact spelling,קלוריה,46300,0.4,קלוריה,iw,IL,56,,
0,Results for exact spelling,אנרגיה מתחדשת,341000,0.42,אנרגיה מתחדשת,iw,IL,58,,
0,Results for exact spelling,שינוי אקלים,480000,0.35,שינוי אקלים,iw,IL,59,,
0,Results for exact spelling,זיהום קרקע,697000,0.48,זיהום קרקע,iw,IL,65,,
0,Results for exact spelling,גז חממה,111000,0.47,גז חממה,iw,IL,66,,
0,Results for exact spelling,זיהום רפואה,756000,0.45,זיהום רפואה,iw,IL,68,,
0,Results for exact spelling,שיטפון,334000,0.39,שיטפון,iw,IL,70,,
0,Results for exact spelling,בצורת,6940000,0.5,בצורת,iw,IL,71,,
0,Results for exact spelling,недостаточное питание,1750000,0.39,недостаточное питание,ru,RU,53,,
0,Results for exact spelling,Продовольственная безопасность,1540000,0.42,Продовольственная безопасность,ru,RU,54,,
0,Results for exact spelling,Калория,1090000,0.5,Калория,ru,RU,56,,
0,Results for exact spelling,Возобновляемая энергия,327000,0.47,Возобновляемая энергия,ru,RU,58,,
0,Results for exact spelling,Глобальное потепление,3960000,0.46,Глобальное потепление,ru,RU,59,,
0,Results for exact spelling,Загрязнение почвы,3970000,0.47,Загрязнение почвы,ru,RU,65,,
0,Results for exact spelling,Парниковые газы,276000,0.41,Парниковые газы,ru,RU,66,,
0,Results for exact spelling,Инфекция,21100000,0.54,Инфекция,ru,RU,68,,
0,Results for exact spelling,Наводнение,4300000,0.47,Наводнение,ru,RU,70,,
0,Results for exact spelling,Засуха,3140000,0.44,Засуха,ru,RU,71,,
0,Results for exact spelling,سوء التغذية,5430000,0.49,سوء التغذية,ar,EG,53,,
0,Results for exact spelling,الامن الغذائي,1570000,0.5,الامن الغذائي,ar,EG,54,,
0,Results for exact spelling,سعرة حرارية,4150000,0.45,سعرة حرارية,ar,EG,56,,
0,Results for exact spelling,طاقة متجددة,777000,0.48,طاقة متجددة,ar,EG,58,,
0,Results for exact spelling,الاحتباس الحراري,1530000,0.49,الاحتباس الحراري,ar,EG,59,,
0,Results for exact spelling,تلوث التربة,1390000,0.51,تلوث التربة,ar,EG,65,,
0,Results for exact spelling,غازات دفيئة,22500,0.51,غازات دفيئة,ar,EG,66,,
0,Results for exact spelling,عدوى,10200000,0.63,عدوى,ar,EG,68,,
0,Results for exact spelling,الفيضان,1140000,0.45,الفيضان,ar,EG,70,,
0,Results for exact spelling,جفاف,17700000,0.36,جفاف,ar,EG,71,,
0,Results for exact spelling,Malnutrición,5410000,0.5,Malnutrición,es,ES,53,,
0,Results for exact spelling,Seguridad alimentaria,64400000,0.51,Seguridad alimentaria,es,ES,54,,
0,Results for exact spelling,Caloría,1560000,0.49,Caloría,es,ES,56,,
0,Results for exact spelling,Energía renovable,27300000,0.53,Energía renovable,es,ES,58,,
0,Results for exact spelling,Calentamiento global,27500000,0.6,Calentamiento global,es,ES,59,,
0,Results for exact spelling,Contaminación del suelo,67900000,0.51,Contaminación del suelo,es,ES,65,,
0,Results for exact spelling,Gas de efecto invernadero,7330000,0.57,Gas de efecto invernadero,es,ES,66,,
0,Results for exact spelling,Infección,1650000000,0.59,Infección,es,ES,68,,
0,Results for exact spelling,Inundación,16700000,0.52,Inundación,es,ES,70,,
0,Results for exact spelling,Sequía,32600000,0.61,Sequía,es,ES,71,,
0,Results for exact spelling,Malnutrition,183000000,0.54,Malnutrition,fr,FR,53,,
0,Results for exact spelling,Sécurité alimentaire,147000000,0.5,Sécurité alimentaire,fr,FR,54,,
0,Results for exact spelling,Calorie,2470000000,0.43,Calorie,fr,FR,56,,
0,Results for exact spelling,Énergie renouvelable,37100000,0.49,Énergie renouvelable,fr,FR,58,,
0,Results for exact spelling,Changement climatique,68700000,0.58,Changement climatique,fr,FR,59,,
0,Results for exact spelling,Pollution du sol,70000000,0.48,Pollution du sol,fr,FR,65,,
0,Results for exact spelling,Gaz à effet de serre,22500000,0.43,Gaz à effet de serre,fr,FR,66,,
0,Results for exact spelling,Infection,5030000000,0.64,Infection,fr,FR,68,,
0,Results for exact spelling,Inondation,17200000,0.56,Inondation,fr,FR,70,,
0,Results for exact spelling,Sécheresse,118000000,1.0,Sécheresse,fr,FR,71,,
0,Results for exact spelling,Malnutrición,5330000,0.56,Malnutrición,es,AR,53,,
0,Results for exact spelling,Seguridad alimentaria,67900000,0.54,Seguridad alimentaria,es,AR,54,,
0,Results for exact spelling,Caloría,1490000,0.47,Caloría,es,AR,56,,
0,Results for exact spelling,Energía renovable,19400000,0.55,Energía renovable,es,AR,58,,
0,Results for exact spelling,Calentamiento global,25300000,0.75,Calentamiento global,es,AR,59,,
0,Results for exact spelling,Contaminación del suelo,40200000,0.61,Contaminación del suelo,es,AR,65,,
0,Results for exact spelling,Gas de efecto invernadero,7930000,0.53,Gas de efecto invernadero,es,AR,66,,
0,Results for exact spelling,Infección,1600000000,0.53,Infección,es,AR,68,,
0,Results for exact spelling,Inundación,15900000,0.53,Inundación,es,AR,70,,
0,Results for exact spelling,Sequía,31700000,0.53,Sequía,es,AR,71,,
