,id,status,json_endpoint,created_at,processed_at,google_url,raw_html_file,total_time_taken,query,lang,country,termid
0,627cfeb72ff421d0610e878f,Success,https://serpapi.com/searches/a7ead2ec10592a63/627cfeb72ff421d0610e878f.json,2022-05-12 12:33:59 UTC,2022-05-12 12:33:59 UTC,https://www.google.com/search?q=Malnutrition&oq=Malnutrition&uule=w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz&hl=en&gl=US&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/a7ead2ec10592a63/627cfeb72ff421d0610e878f.html,0.7,Malnutrition,en,US,53
0,627cfeba8e02e41ac824e565,Success,https://serpapi.com/searches/ae37e1d7af0e3819/627cfeba8e02e41ac824e565.json,2022-05-12 12:34:02 UTC,2022-05-12 12:34:02 UTC,https://www.google.com/search?q=Food+Security&oq=Food+Security&uule=w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz&hl=en&gl=US&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/ae37e1d7af0e3819/627cfeba8e02e41ac824e565.html,1.2,Food Security,en,US,54
0,627cfebe681ebea721c92b52,Success,https://serpapi.com/searches/af044853f5a5331b/627cfebe681ebea721c92b52.json,2022-05-12 12:34:06 UTC,2022-05-12 12:34:06 UTC,https://www.google.com/search?q=Calorie&oq=Calorie&uule=w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz&hl=en&gl=US&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/af044853f5a5331b/627cfebe681ebea721c92b52.html,8.78,Calorie,en,US,56
0,627cfec8a4be10eb3ec51af0,Success,https://serpapi.com/searches/bdc2d2e8f74fb168/627cfec8a4be10eb3ec51af0.json,2022-05-12 12:34:16 UTC,2022-05-12 12:34:16 UTC,https://www.google.com/search?q=Renewable+Energy&oq=Renewable+Energy&uule=w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz&hl=en&gl=US&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/bdc2d2e8f74fb168/627cfec8a4be10eb3ec51af0.html,0.88,Renewable Energy,en,US,58
0,627cfecbe135084884e0ab40,Success,https://serpapi.com/searches/44464d1fac649c55/627cfecbe135084884e0ab40.json,2022-05-12 12:34:19 UTC,2022-05-12 12:34:19 UTC,https://www.google.com/search?q=Climate+change&oq=Climate+change&uule=w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz&hl=en&gl=US&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/44464d1fac649c55/627cfecbe135084884e0ab40.html,6.83,Climate change,en,US,59
0,627cfed40574f58582f97c43,Success,https://serpapi.com/searches/65a92bf0f116db43/627cfed40574f58582f97c43.json,2022-05-12 12:34:28 UTC,2022-05-12 12:34:28 UTC,https://www.google.com/search?q=Soil+contamination&oq=Soil+contamination&uule=w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz&hl=en&gl=US&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/65a92bf0f116db43/627cfed40574f58582f97c43.html,0.65,Soil contamination,en,US,65
0,627cfed6d04d6d206e7d9ac0,Success,https://serpapi.com/searches/4193c6e1061c85de/627cfed6d04d6d206e7d9ac0.json,2022-05-12 12:34:30 UTC,2022-05-12 12:34:30 UTC,https://www.google.com/search?q=Greenhouse+gas&oq=Greenhouse+gas&uule=w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz&hl=en&gl=US&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/4193c6e1061c85de/627cfed6d04d6d206e7d9ac0.html,2.3,Greenhouse gas,en,US,66
0,627cfeda58762b6e1598df10,Success,https://serpapi.com/searches/d12c4815d5b22350/627cfeda58762b6e1598df10.json,2022-05-12 12:34:34 UTC,2022-05-12 12:34:34 UTC,https://www.google.com/search?q=Infection&oq=Infection&uule=w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz&hl=en&gl=US&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/d12c4815d5b22350/627cfeda58762b6e1598df10.html,3.58,Infection,en,US,68
0,627cfedfce87f8ea4a81c838,Success,https://serpapi.com/searches/9fe24f0febd5317d/627cfedfce87f8ea4a81c838.json,2022-05-12 12:34:39 UTC,2022-05-12 12:34:39 UTC,https://www.google.com/search?q=Flood&oq=Flood&uule=w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz&hl=en&gl=US&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/9fe24f0febd5317d/627cfedfce87f8ea4a81c838.html,0.84,Flood,en,US,70
0,627cfee1437af282fc44eea9,Success,https://serpapi.com/searches/447795e0788ca8b5/627cfee1437af282fc44eea9.json,2022-05-12 12:34:41 UTC,2022-05-12 12:34:41 UTC,https://www.google.com/search?q=Drought&oq=Drought&uule=w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz&hl=en&gl=US&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/447795e0788ca8b5/627cfee1437af282fc44eea9.html,1.04,Drought,en,US,71
0,627cfee434ff95c28f3e37b7,Success,https://serpapi.com/searches/9221cdbb4043ee82/627cfee434ff95c28f3e37b7.json,2022-05-12 12:34:44 UTC,2022-05-12 12:34:44 UTC,https://www.google.com/search?q=Malnutrition&oq=Malnutrition&uule=w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh&hl=en&gl=NG&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/9221cdbb4043ee82/627cfee434ff95c28f3e37b7.html,2.54,Malnutrition,en,NG,53
0,627cfee8edb0348ea0a0e39f,Success,https://serpapi.com/searches/06b9c17a282109d8/627cfee8edb0348ea0a0e39f.json,2022-05-12 12:34:48 UTC,2022-05-12 12:34:48 UTC,https://www.google.com/search?q=Food+Security&oq=Food+Security&uule=w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh&hl=en&gl=NG&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/06b9c17a282109d8/627cfee8edb0348ea0a0e39f.html,6.42,Food Security,en,NG,54
0,627cfef05b54ef20a59cee14,Success,https://serpapi.com/searches/dcc3b25b358f9d09/627cfef05b54ef20a59cee14.json,2022-05-12 12:34:56 UTC,2022-05-12 12:34:56 UTC,https://www.google.com/search?q=Calorie&oq=Calorie&uule=w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh&hl=en&gl=NG&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/dcc3b25b358f9d09/627cfef05b54ef20a59cee14.html,1.19,Calorie,en,NG,56
0,627cfef39f55b30b2e4134cd,Success,https://serpapi.com/searches/428a69a669c0034c/627cfef39f55b30b2e4134cd.json,2022-05-12 12:34:59 UTC,2022-05-12 12:34:59 UTC,https://www.google.com/search?q=Renewable+Energy&oq=Renewable+Energy&uule=w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh&hl=en&gl=NG&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/428a69a669c0034c/627cfef39f55b30b2e4134cd.html,1.43,Renewable Energy,en,NG,58
0,627cfef6303eb1c5cbbf3be3,Success,https://serpapi.com/searches/cf50d8e91f9e42a7/627cfef6303eb1c5cbbf3be3.json,2022-05-12 12:35:02 UTC,2022-05-12 12:35:02 UTC,https://www.google.com/search?q=Climate+change&oq=Climate+change&uule=w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh&hl=en&gl=NG&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/cf50d8e91f9e42a7/627cfef6303eb1c5cbbf3be3.html,1.65,Climate change,en,NG,59
0,627cfefaaf6304fd00b6acad,Success,https://serpapi.com/searches/cf188d465448972c/627cfefaaf6304fd00b6acad.json,2022-05-12 12:35:06 UTC,2022-05-12 12:35:06 UTC,https://www.google.com/search?q=Soil+contamination&oq=Soil+contamination&uule=w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh&hl=en&gl=NG&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/cf188d465448972c/627cfefaaf6304fd00b6acad.html,8.75,Soil contamination,en,NG,65
0,627cff042ff421d0fb7668bd,Success,https://serpapi.com/searches/66395fae2ea3ed29/627cff042ff421d0fb7668bd.json,2022-05-12 12:35:16 UTC,2022-05-12 12:35:16 UTC,https://www.google.com/search?q=Greenhouse+gas&oq=Greenhouse+gas&uule=w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh&hl=en&gl=NG&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/66395fae2ea3ed29/627cff042ff421d0fb7668bd.html,2.51,Greenhouse gas,en,NG,66
0,627cff087d171aee13062329,Success,https://serpapi.com/searches/4bc038df7b248a43/627cff087d171aee13062329.json,2022-05-12 12:35:20 UTC,2022-05-12 12:35:20 UTC,https://www.google.com/search?q=Infection&oq=Infection&uule=w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh&hl=en&gl=NG&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/4bc038df7b248a43/627cff087d171aee13062329.html,1.36,Infection,en,NG,68
