,engine,q,uule,google_domain,hl,gl,device,query,lang,country,termid
0,google,Malnutrition,w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz,google.com,en,US,desktop,Malnutrition,en,US,53
0,google,Food Security,w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz,google.com,en,US,desktop,Food Security,en,US,54
0,google,Calorie,w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz,google.com,en,US,desktop,Calorie,en,US,56
0,google,Renewable Energy,w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz,google.com,en,US,desktop,Renewable Energy,en,US,58
0,google,Climate change,w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz,google.com,en,US,desktop,Climate change,en,US,59
0,google,Soil contamination,w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz,google.com,en,US,desktop,Soil contamination,en,US,65
0,google,Greenhouse gas,w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz,google.com,en,US,desktop,Greenhouse gas,en,US,66
0,google,Infection,w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz,google.com,en,US,desktop,Infection,en,US,68
0,google,Flood,w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz,google.com,en,US,desktop,Flood,en,US,70
0,google,Drought,w+CAIQICItV2FzaGluZ3RvbixEaXN0cmljdCBvZiBDb2x1bWJpYSxVbml0ZWQgU3RhdGVz,google.com,en,US,desktop,Drought,en,US,71
0,google,Malnutrition,w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh,google.com,en,NG,desktop,Malnutrition,en,NG,53
0,google,Food Security,w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh,google.com,en,NG,desktop,Food Security,en,NG,54
0,google,Calorie,w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh,google.com,en,NG,desktop,Calorie,en,NG,56
0,google,Renewable Energy,w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh,google.com,en,NG,desktop,Renewable Energy,en,NG,58
0,google,Climate change,w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh,google.com,en,NG,desktop,Climate change,en,NG,59
0,google,Soil contamination,w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh,google.com,en,NG,desktop,Soil contamination,en,NG,65
0,google,Greenhouse gas,w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh,google.com,en,NG,desktop,Greenhouse gas,en,NG,66
0,google,Infection,w+CAIQICInQWJ1amEsRmVkZXJhbCBDYXBpdGFsIFRlcnJpdG9yeSxOaWdlcmlh,google.com,en,NG,desktop,Infection,en,NG,68
