,title,link,source,date,thumbnail,query,lang,country,termid
0,Fish farming floated as an answer to the Earth’s food issues,https://www.scmp.com/news/china/science/article/3177081/can-fish-farming-solve-chinas-food-security-issues-and-planets,South China Morning Post,2 days ago,https://serpapi.com/searches/627cfeba8e02e41ac824e565/images/714303d86b876f24e44ad3715920339c23c29a52c7fb48d5.jpeg,Food Security,en,US,54
1,UN: Food insecurity in Afghanistan reaches ‘catastrophic’ level,https://thehill.com/policy/international/3482220-un-food-insecurity-in-afghanistan-reaches-catastrophic-level/,The Hill,2 days ago,https://serpapi.com/searches/627cfeba8e02e41ac824e565/images/714303d86b876f24c6c48be1f63c01a9b70fdd2c6eff1a3d.jpeg,Food Security,en,US,54
2,Videos of Ruined Wheat Fields in China Boost Food Security Fears,https://www.bloomberg.com/news/articles/2022-05-11/videos-of-ruined-wheat-fields-in-china-boost-food-security-fears,Bloomberg.com,1 day ago,https://serpapi.com/searches/627cfeba8e02e41ac824e565/images/714303d86b876f24d3205841233708b84e0ac7438ca18bda.jpeg,Food Security,en,US,54
3,Lawmakers eye $5 billion for global food insecurity amid Ukraine war,https://thehill.com/policy/international/3485506-lawmakers-eye-5-billion-for-global-food-insecurity-amid-ukraine-war/,The Hill,11 hours ago,https://serpapi.com/searches/627cfeba8e02e41ac824e565/images/714303d86b876f247dd7f4d9d656f704c295ba00437c6ea3.jpeg,Food Security,en,US,54
0,"French fries versus almonds: Calorie for calorie, which comes out on top?",https://www.health.harvard.edu/blog/french-fries-versus-almonds-calorie-for-calorie-which-comes-out-on-top-202205102741,Harvard Health,1 day ago,https://serpapi.com/searches/627cfebe681ebea721c92b52/images/e9bc17dd5920ff359b8f7b87cb33935bb3c762eee46c7e3c.jpeg,Calorie,en,US,56
1,Carefully Timed Calorie Restriction Greatly Extends Mouse Lifespan,https://www.technologynetworks.com/neuroscience/news/carefully-timed-calorie-restriction-greatly-extends-mouse-lifespan-361370,Technology Networks,3 days ago,https://serpapi.com/searches/627cfebe681ebea721c92b52/images/e9bc17dd5920ff35f0e798ea510b35c1dc820dc6072cf4c0.jpeg,Calorie,en,US,56
2,"I've Never Liked Zero-Calorie Sweeteners, But This One Blew Me Away — Eat This Not That",https://www.eatthis.com/zero-calorie-sweetener-blew-me-away/,"Eat This, Not That",22 hours ago,https://serpapi.com/searches/627cfebe681ebea721c92b52/images/e9bc17dd5920ff3576a0a890d84fb8c64e0044ae7507c642.jpeg,Calorie,en,US,56
3,What Not to Do if You Want to Burn Calories in a Short Amount of Time,https://poosh.com/burn-calories-quickly/,Poosh,1 day ago,https://serpapi.com/searches/627cfebe681ebea721c92b52/images/e9bc17dd5920ff35e91d33d08c582477d8d2b311d9da6459.jpeg,Calorie,en,US,56
0,Renewable Energy Market Update - May 2022 – Analysis,https://www.iea.org/reports/renewable-energy-market-update-may-2022,IEA,21 hours ago,https://serpapi.com/searches/627cfec8a4be10eb3ec51af0/images/f34c01be7b988f6a19eba1cb778391ff69c68fd1bd66c765.jpeg,Renewable Energy,en,US,58
1,"Avoid using gas as ‘transition’ fuel in move to clean energy, study urges",https://www.theguardian.com/environment/2022/may/10/avoid-using-gas-transition-fuel-move-clean-energy-study-urges,The Guardian,2 days ago,https://serpapi.com/searches/627cfec8a4be10eb3ec51af0/images/f34c01be7b988f6ab4f6e400d87707a9626b6ff94e325fa1.jpeg,Renewable Energy,en,US,58
2,New York Leads America off a Renewable-Energy Cliff,https://www.wsj.com/articles/new-york-leads-america-off-an-energy-cliff-natural-gas-fossil-fuels-pipelines-shale-11652296744,Wall Street Journal,14 hours ago,https://serpapi.com/searches/627cfec8a4be10eb3ec51af0/images/f34c01be7b988f6ad146cec573e0b7e1b3c886df80f66145.jpeg,Renewable Energy,en,US,58
3,"Creaky US power grid threatens progress on renewables, EVs",https://www.reuters.com/investigates/special-report/usa-renewables-electric-grid/,Reuters,2 hours ago,https://serpapi.com/searches/627cfec8a4be10eb3ec51af0/images/f34c01be7b988f6a831e6ec02b52ec047055d58e700fd936.jpeg,Renewable Energy,en,US,58
0,Bodies newly discovered in Lake Mead show climate change's effect,https://www.nbcnews.com/news/us-news/are-bodies-buried-climate-change-showing-us-rcna28099,NBC News,1 day ago,https://serpapi.com/searches/627cfecbe135084884e0ab40/images/f03c889efdc6eec49d01995c9bf8a968e92cac1d8db82de0.jpeg,Climate change,en,US,59
1,"Climate-change-linked droughts have increased dramatically since 2000, report finds",https://news.yahoo.com/climate-change-linked-droughts-have-increased-dramatically-since-2000-report-finds-183406409.html,Yahoo News,18 hours ago,https://serpapi.com/searches/627cfecbe135084884e0ab40/images/f03c889efdc6eec4a991495fd79cdb6d5287f6aacad0e4d0.jpeg,Climate change,en,US,59
2,How Miami can survive climate change.,https://slate.com/technology/2022/05/miami-climate-change-survival.html,Slate Magazine,2 hours ago,https://serpapi.com/searches/627cfecbe135084884e0ab40/images/f03c889efdc6eec4ed6b63c45981481c8f35dc772ed3614d.jpeg,Climate change,en,US,59
3,Human Behavior Is the Other Puzzle for Climate-Change Modeling,https://www.wsj.com/articles/human-behavior-is-the-other-puzzle-for-climate-change-modeling-11652349600,Wall Street Journal,2 hours ago,https://serpapi.com/searches/627cfecbe135084884e0ab40/images/f03c889efdc6eec4646ad77f36f908c168251c6672ee837f.jpeg,Climate change,en,US,59
0,Students go on-site to learn about greenhouse gas emissions,http://news.unm.edu/news/students-go-on-site-to-learn-about-greenhouse-gas-emissions,UNM Newsroom,13 hours ago,https://serpapi.com/searches/627cfed6d04d6d206e7d9ac0/images/6e78c2bde981f53295a72c8f378dd328674d44eb7081c0aa.jpeg,Greenhouse gas,en,US,66
1,4 ways hospitals can cut greenhouse gas emissions,https://www.woodtv.com/news/national/4-ways-hospitals-can-cut-greenhouse-gas-emissions/,WOODTV.com,2 days ago,https://serpapi.com/searches/627cfed6d04d6d206e7d9ac0/images/6e78c2bde981f532e58a1ad22071522acccb8aa48243ce30.jpeg,Greenhouse gas,en,US,66
2,Ben & Jerry's Seeks Ways to Cut Dairy Greenhouse Gas Emissions,https://www.sevendaysvt.com/vermont/ben-and-jerrys-seeks-ways-to-cut-dairy-greenhouse-gas-emissions/Content?oid=35521966,Seven Days,2 days ago,https://serpapi.com/searches/627cfed6d04d6d206e7d9ac0/images/6e78c2bde981f532642b05357ef69fd4d126ca5f3512b52a.jpeg,Greenhouse gas,en,US,66
0,Half Of Covid Survivors Show 1 Symptom Even 2 Years After: Lancet Journal,https://www.ndtv.com/world-news/half-of-covid-survivors-have-1-symptom-2-years-after-infection-lancet-2968213,NDTV.com,6 hours ago,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnVJ8BQ--MPolCvdurZQMNMuOsWPSz8NFC4CXEEQWzZr41RMBEIo6xlyGZ1Q&usqp=CAI&s=10,Infection,en,US,68
1,Shanghai posts falling Covid-19 infections and deaths,https://www.scmp.com/business/china-business/article/3177426/coronavirus-shanghai-posts-falling-covid-19-infections,South China Morning Post,41 mins ago,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0D-ddctFYrQYRGK4nisjGjcAYNQ3qAp-h2nCMhud2PwayZdwko37ZCsQ&usqp=CAI&s,Infection,en,US,68
2,Kim declares 'most serious emergency' as North Korea reports first Covid cases,https://www.nbcnews.com/news/world/north-korea-reports-first-coronavirus-infection-rcna28451,NBC News,11 hours ago,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqojSCF11-HDvySLBSNb9c3Jzs-WCeTJ2lk5kbi1Mqo2dVXiUrv-d0RPo&usqp=CAI&s,Infection,en,US,68
3,Coronavirus 'ghosts' found lingering in the gut,https://www.nature.com/articles/d41586-022-01280-3,Nature,19 hours ago,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoh_h49TxT_6GFJSID42dksaXb8tHuajipwPkM0y4wRd61MWwW4AxNdDc&usqp=CAI&s,Infection,en,US,68
4,Most COVID transmission is still asymptomatic,https://abcnews.go.com/Health/covid-transmission-asymptomatic/story?id=84599810,ABC News,22 hours ago,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRz5mBbceU5soX7wRsCGiZoxbxn4OH8OLIiscS5-yARy9mh-8wlF7cZ_K0&usqp=CAI&s,Infection,en,US,68
5,"Outlook on the Urinary Tract Infection Treatment Global Market to 2027 - Featuring Novartis, Allergan and GlaxoSmithKline Among Others",https://finance.yahoo.com/news/outlook-urinary-tract-infection-treatment-104800162.html,Yahoo Finance,1 hour ago,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPBnYNSjAubOIfiBbPjJHojWb3QZ7HZ87yHaSJ1dEUg0W5jRR1pqMMgloM3g&s,Infection,en,US,68
6,"Safety, immunogenicity, and reactogenicity of BNT162b2 and mRNA-1273 COVID-19 vaccines given as fourth-dose ...",https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(22)00271-7/fulltext,The Lancet,2 days ago,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIuqy3c_YMGPSX8AKTi42rJBReIUCl-9ZWWtOb8x3sjCigOw3pqbrL6Vc&usqp=CAI&s,Infection,en,US,68
0,Red River Flooding is Worst in a Decade,https://earthobservatory.nasa.gov/images/149822/red-river-flooding-is-worst-in-a-decade,NASA Earth Observatory,14 hours ago,https://serpapi.com/searches/627cfedfce87f8ea4a81c838/images/28d181780a20c26578b94d77657d122eff1df2230adb574f.jpeg,Flood,en,US,70
