termId,searchTerm,language,country,Wikipedia_link
72,Covid ,en,us,https://en.wikipedia.org/wiki/COVID-19
72,кови́д,ru,ru,https://ru.wikipedia.org/wiki/COVID-19
72,קורונה,iw,il,https://he.wikipedia.org/wiki/%D7%9E%D7%97%D7%9C%D7%AA_%D7%A0%D7%92%D7%99%D7%A3_%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94_2019
72,كورونا,ar,eg,https://ar.wikipedia.org/wiki/%D9%85%D8%B1%D8%B6_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_2019
73,Cultured meat,en,us,https://en.wikipedia.org/wiki/Cultured_meat
73,Искусственное мясо,ru,ru,https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5_%D0%BC%D1%8F%D1%81%D0%BE
73,בשר מתורבת,iw,il,https://he.wikipedia.org/wiki/%D7%91%D7%A9%D7%A8_%D7%9E%D7%AA%D7%95%D7%A8%D7%91%D7%AA
73,لحم مصنع,ar,eg,https://ar.wikipedia.org/wiki/%D9%84%D8%AD%D9%85_%D9%85%D8%B5%D9%86%D8%B9
74,Tissue engineering,en,us,https://en.wikipedia.org/wiki/Tissue_engineering
74,Тканевая инженерия,ru,ru,https://ar.wikipedia.org/wiki/%D9%87%D9%86%D8%AF%D8%B3%D8%A9_%D8%A7%D9%84%D8%A3%D9%86%D8%B3%D8%AC%D8%A9
74,הנדסת רקמות,iw,il,https://he.wikipedia.org/wiki/%D7%94%D7%A0%D7%93%D7%A1%D7%AA_%D7%A8%D7%A7%D7%9E%D7%95%D7%AA
74,هندسة الأنسجة,ar,eg,https://ru.wikipedia.org/wiki/%D0%A2%D0%BA%D0%B0%D0%BD%D0%B5%D0%B2%D0%B0%D1%8F_%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80%D0%B8%D1%8F
75,Protein folding,en,us,https://en.wikipedia.org/wiki/Protein_folding
75,Фолдинг белка,ru,ru,https://ru.wikipedia.org/wiki/%D0%A4%D0%BE%D0%BB%D0%B4%D0%B8%D0%BD%D0%B3_%D0%B1%D0%B5%D0%BB%D0%BA%D0%B0
75,קיפול חלבונים,iw,il,https://he.wikipedia.org/wiki/%D7%A7%D7%99%D7%A4%D7%95%D7%9C_%D7%97%D7%9C%D7%91%D7%95%D7%A0%D7%99%D7%9D
75,تطوي البروتين,ar,eg,https://ar.wikipedia.org/wiki/%D8%AA%D8%B7%D9%88%D9%8A_%D8%A7%D9%84%D8%A8%D8%B1%D9%88%D8%AA%D9%8A%D9%86
76,Immunotherapy,en,us,https://en.wikipedia.org/wiki/Immunotherapy
76,Иммунотерапия,ru,ru,https://ru.wikipedia.org/wiki/%D0%98%D0%BC%D0%BC%D1%83%D0%BD%D0%BE%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B8%D1%8F
76,אימונותרפיה,iw,il,https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9E%D7%95%D7%A0%D7%95%D7%AA%D7%A8%D7%A4%D7%99%D7%94
76,علاج مناعي,ar,eg,https://ar.wikipedia.org/wiki/%D8%B9%D9%84%D8%A7%D8%AC_%D9%85%D9%86%D8%A7%D8%B9%D9%8A
