termId,searchTerm,language,country,resultNum,resultTime
5,Environment,en,us,4820000000,3.81
5,Среда,ru,ru,128000000,3.24
5,סביבה,iw,il,9930000,4.92
5,بيئة,ar,eg,38700000,1.04
6,Ecosystem,en,us,4180000000,6.38
6,Экосистема,ru,ru,4900000,0.83
6,מערכת אקולוגית,iw,il,383000,8.8
6,نظام بيئي,ar,eg,6340000,0.88
8,Pollution,en,us,1240000000,6.05
8,Загрязнение,ru,ru,17800000,0.96
8,זיהום הסביבה,iw,il,1500000,2.44
8,تلوث,ar,eg,20300000,2.19
12,Fungus,en,us,734000000,4.03
12,Грибы,ru,ru,50700000,1.33
12,פטריות,iw,il,9820000,0.79
12,فطر,ar,eg,123000000,1.23
13,Mammal,en,us,621000000,1.67
13,Млекопитающие,ru,ru,7200000,0.95
13,יונקים,iw,il,637000,4.63
13,ثدييات,ar,eg,6200000,0.68
16,Solution,en,us,5050000000,2.39
16,Раствор,ru,ru,51600000,1.08
16,תמיסה,iw,il,1230000,6.16
16,محلول,ar,eg,45300000,2.77
20,Atom,en,us,1230000000,1.78
20,Атом,ru,ru,9090000,0.76
20,אטום,iw,il,1570000,0.64
20,ذرة,ar,eg,9370000,0.91
28,Energy,en,us,6360000000,1.7
28,Энергия,ru,ru,47700000,4.37
28,אנרגיה,iw,il,9300000,1.48
28,طاقة,ar,eg,33700000,1.43
29,Weight,en,us,5970000000,1.15
29,Вес,ru,ru,188000000,0.77
29,משקל,iw,il,15200000,1.93
29,وزن,ar,eg,2490000000,3.19
35,Solar system,en,us,3650000000,1.8
35,Солнечная система,ru,ru,6700000,2.18
35,מערכת השמש,iw,il,2820000,2.02
35,المجموعة الشمسية,ar,eg,3550000,0.81
38,Evolution,en,us,3710000000,3.96
38,Эволюция,ru,ru,27100000,3.71
38,אבולוציה,iw,il,502000,2.66
38,تطور,ar,eg,150000000,0.95
39,PCR,en,us,1190000000,8.66
39,PCR,iw,il,1430000000,0.58
39,ПЦР,ru,ru,24100000,1.94
39,تفاعل البوليمراز المتسلسل,ar,eg,330000,3.8
42,mRNA,en,us,338000000,3.67
42,mRNA,iw,il,338000000,0.62
42,мРНК,ru,ru,635000,0.57
42,الحمض النووي الريبي المرسال,ar,eg,26000,2.25
43,genome,en,us,537000000,0.94
43,геном,ru,ru,6700000,1.83
43,גנום,iw,il,52200,1.13
43,الجينوم,ar,eg,616000,1.47
44,Mars,en,us,1900000000,1.03
