termId,searchTerm,language,position,title,link,definition,information,visualization,site quality,Adds
5,Environment,en,1,Environment Definition & Meaning - Merriam-Webster,https://www.merriam-webster.com/dictionary/environment,3,2,1,2,1
5,Environment,en,2,UNEP - UN Environment Programme,,3,1,3,3,0
5,Environment,en,3,Environment - OECD,https://www.oecd.org/environment/,0,2,3,3,0
5,Среда,ru,1,СРЕДА – плёночная лаборатория и фотомагазин,https://sreda.photo/,0,1,2,2,1
5,Среда,ru,2,Среда - Википедия,https://ru.wikipedia.org/wiki/Среда,3,2,2,3,0
5,Среда,ru,3,среда - Викисловарь,https://ru.wiktionary.org/wiki/среда,3,2,1,3,0
5,סביבה,iw,1,סביבה - ויקיפדיה,https://he.wikipedia.org/wiki/סביבה,3,1,0,3,0
5,סביבה,iw,2,סביבה (פסיכולוגיה) - ויקיפדיה,https://he.wikipedia.org/wiki/סביבה_(פסיכולוגיה),3,1,0,3,0
5,סביבה,iw,3,מה זה סביבה - מילון עברי עברי,https://milog.co.il/סביבה,3,1,0,3,0
5,بيئة,ar,1,بيئة - ويكيبيديا,https://ar.wikipedia.org/wiki/بيئة,3,2,1,3,0
5,بيئة,ar,2,بيئة طبيعية - ويكيبيديا,https://ar.wikipedia.org/wiki/بيئة_طبيعية,3,1,1,3,0
5,بيئة,ar,3,Home - BEEAH Group | UAE,https://www.beeahgroup.com/ar/,2,2,0,2,0
6,Ecosystem,en,1,Ecosystem | National Geographic Society,https://www.nationalgeographic.org/encyclopedia/ecosystem/,3,3,3,3,0
6,Ecosystem,en,2,Ecosystem - Wikipedia,https://en.wikipedia.org/wiki/Ecosystem,3,3,3,3,0
6,Ecosystem,en,3,"ecosystem | Definition, Components, Examples, Structure ...",https://www.britannica.com/science/ecosystem,3,3,3,3,0
6,Экосистема,ru,1,Экосистема - Википедия,https://ru.wikipedia.org/wiki/Экосистема,3,3,3,3,0
6,Экосистема,ru,2,Экосистема - Техническая Библиотека Neftegaz.RU,https://neftegaz.ru/tech-library/menedzhment/147972-ekosistema/,3,2,1,3,0
6,Экосистема,ru,3,"Экосистема: понятие, структура и виды экосистем",https://www.grandars.ru/shkola/geografiya/ekosistema.html,3,3,2,2,0
